mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__kernel,param_svm__gamma,param_svm__C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.8363381226857503,0.46225540825261874,1.8753235340118408,0.37856428990036095,rbf,0.01,21.54434690031882,"{'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'svm__C': 21.54434690031882}",0.68108585301258,0.66738894907909,0.592640413169787,0.6470384050871524,0.038869503365510254,1,0.6822690293101527,0.6744361713607424,0.5972328140320297,0.6513126715676415,0.03837370331549086
1.6402870019276936,0.34271601307093896,1.8551616668701172,0.27844004861484756,rbf,0.01,100.0,"{'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'svm__C': 100.0}",0.6155902004454343,0.6347409664780148,0.6492355417682252,0.6331889028972247,0.013779427278879323,2,0.6277827248441674,0.6559092891408635,0.6601395453522395,0.6479438531124235,0.014360294488398137
1.7388536135355632,0.3755234323186564,2.3461018403371177,0.5488591001282774,rbf,0.01,4.6415888336127775,"{'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'svm__C': 4.6415888336127775}",0.7052727826882048,0.6747572815533981,0.4246192104445135,0.6015497582287054,0.12572751755758105,3,0.7127545551982851,0.6745731228120312,0.4537165816720754,0.6136814198941306,0.11418119385527178
1.2400652567545574,0.041218125956965244,0.42043614387512207,0.0828921680772049,linear,scale,100.0,"{'svm__kernel': 'linear', 'svm__gamma': 'scale', 'svm__C': 100.0}",0.5186308492201039,0.5938494167550371,0.6024753513740297,0.5716518724497236,0.037656547595778384,4,0.5106521739130435,0.6106531388712746,0.5930041152263374,0.5714364760035519,0.04358073385015845
0.8257264296213785,0.027677129138812703,0.308637539545695,0.022321139551618845,linear,scale,46.41588833612777,"{'svm__kernel': 'linear', 'svm__gamma': 'scale', 'svm__C': 46.41588833612777}",0.5186308492201039,0.5938494167550371,0.6024753513740297,0.5716518724497236,0.037656547595778384,4,0.5106521739130435,0.6106531388712746,0.5930041152263374,0.5714364760035519,0.04358073385015845
1.0505961577097576,0.16691585220702881,0.356539249420166,0.008536924724140844,linear,0.01,46.41588833612777,"{'svm__kernel': 'linear', 'svm__gamma': 0.01, 'svm__C': 46.41588833612777}",0.5186308492201039,0.5938494167550371,0.6024753513740297,0.5716518724497236,0.037656547595778384,4,0.5106521739130435,0.6106531388712746,0.5930041152263374,0.5714364760035519,0.04358073385015845
0.9276870091756185,0.17114510511910216,0.33188645044962567,0.03707534105037676,linear,0.1,21.54434690031882,"{'svm__kernel': 'linear', 'svm__gamma': 0.1, 'svm__C': 21.54434690031882}",0.5186308492201039,0.5938494167550371,0.6024753513740297,0.5716518724497236,0.037656547595778384,4,0.5106521739130435,0.6106531388712746,0.5930041152263374,0.5714364760035519,0.04358073385015845
1.243237574895223,0.28320538460303785,0.3612844944000244,0.053926228254001736,linear,scale,10.0,"{'svm__kernel': 'linear', 'svm__gamma': 'scale', 'svm__C': 10.0}",0.5186308492201039,0.5938494167550371,0.6024753513740297,0.5716518724497236,0.037656547595778384,4,0.5106521739130435,0.6106531388712746,0.5930041152263374,0.5714364760035519,0.04358073385015845
2.154731829961141,0.5927138544461511,2.334055741628011,0.2551958952679371,rbf,scale,0.46415888336127786,"{'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'svm__C': 0.46415888336127786}",0.8356824925816023,0.6667606427967296,0.21108179419525067,0.5711749765245276,0.2637978680779473,9,0.88320398581968,0.6666666666666666,0.2266766579243162,0.5921824368035543,0.2731519216383468
0.9886566003163656,0.19340986522011103,0.40108076731363934,0.07848270395433825,linear,scale,0.46415888336127786,"{'svm__kernel': 'linear', 'svm__gamma': 'scale', 'svm__C': 0.46415888336127786}",0.6034233862652093,0.421875,0.5145977735769797,0.5132987199473963,0.07412251027465637,10,0.6009174311926605,0.41286329981213393,0.5133063657653821,0.5090290322567256,0.07683233160061066
2.2535961469014487,0.6568091579570579,2.4954404830932617,0.5759407666888463,rbf,0.1,0.1,"{'svm__kernel': 'rbf', 'svm__gamma': 0.1, 'svm__C': 0.1}",0.819620253164557,0.6667606427967296,0.0,0.4954602986537622,0.3558578328274813,11,0.8715477293790547,0.6666196786016352,0.0,0.5127224693268966,0.3720771644102524
1.6122175057729085,0.414235541042789,0.5519442558288574,0.1601616230693414,linear,scale,0.1,"{'svm__kernel': 'linear', 'svm__gamma': 'scale', 'svm__C': 0.1}",0.5500894454382826,0.6719885958660015,0.2514930325149303,0.49119035793973814,0.17664645780127147,12,0.5468123049487293,0.6717937762586342,0.25217100868403475,0.49025902996379944,0.17591574015302971
